1.005	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.01	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.015	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.02	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.025	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.03	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.035	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.04	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.045	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.05	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.055	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.06	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.065	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.07	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.075	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.08	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.085	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.09	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.095	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.105	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.11	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.115	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.12	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.125	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.13	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.135	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.14	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.145	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.15	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.155	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.16	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.165	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.17	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.175	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.18	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.185	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.19	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.195	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.2	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.205	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.21	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.215	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.22	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.225	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.23	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.235	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.24	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.245	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.25	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.255	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.26	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.265	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.27	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.275	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.28	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.285	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.29	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
1.295	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	
